Model              TIME(t) ACC(t)  ERR(t)  ACC(v)  ERR(v)  Parameters
SYN2020-LUCID-p4   0.05786 0.98245 0.09910 0.99369 0.06674 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05921 0.98736 0.07914 0.99369 0.06869 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06029 0.98561 0.08431 0.99685 0.06051 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05808 0.98421 0.08858 0.99369 0.05981 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05874 0.98491 0.08129 0.99369 0.06426 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05879 0.98175 0.09182 0.99369 0.06225 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06210 0.98561 0.08404 0.99369 0.06096 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05854 0.98772 0.07665 0.99369 0.06356 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05829 0.98526 0.08215 0.99369 0.05804 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05857 0.98631 0.08050 0.99369 0.05821 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05831 0.98280 0.08838 0.99369 0.05715 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06307 0.98350 0.08501 0.99369 0.05685 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05691 0.98877 0.07047 0.99369 0.05818 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05749 0.98456 0.08480 0.99369 0.05613 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05797 0.98526 0.08176 0.99369 0.05647 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06124 0.98701 0.07637 0.99369 0.05658 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05790 0.98736 0.07349 0.99369 0.05390 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05793 0.98421 0.08128 0.99369 0.05506 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05747 0.98701 0.07516 0.99369 0.05607 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06196 0.98421 0.08432 0.99369 0.05537 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05745 0.98245 0.08699 0.99369 0.05300 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05820 0.98350 0.08689 0.99369 0.05281 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05675 0.98456 0.08384 0.99369 0.05265 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06243 0.98491 0.07878 0.99685 0.05251 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05743 0.98877 0.06771 0.99369 0.05517 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05864 0.98666 0.07388 0.99369 0.05450 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06001 0.98772 0.07033 0.99369 0.05493 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06305 0.98807 0.06891 0.99369 0.05150 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05915 0.98421 0.08379 0.99369 0.05185 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05865 0.98315 0.08106 0.99369 0.05438 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05830 0.98350 0.08129 0.99369 0.05404 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06159 0.98596 0.07548 0.99369 0.05687 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05907 0.98807 0.06560 0.99685 0.04786 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05760 0.98561 0.07418 0.99369 0.04710 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05648 0.98034 0.09216 0.99369 0.04809 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05715 0.98701 0.07202 0.99369 0.05190 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.06266 0.98385 0.08363 0.99369 0.05673 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
SYN2020-LUCID-p4   0.05808 0.98491 0.08134 0.99369 0.04961 lr=0.100,b=1024,n=010,t=010,k=001,h=(03,09),m=min
