PROCESS-TIME SIZE TIMESTAMP
0.21952533721923828 0.00 1671628805.8621533
0.03276848793029785 0.01 1671628810.9293826
0.032837867736816406 0.01 1671628816.03305
0.03384041786193848 0.02 1671628821.1460905
0.05167722702026367 0.03 1671628826.355254
0.048346519470214844 0.04 1671628831.557323
0.04075288772583008 0.00 1671628836.6130488
0.033541202545166016 0.01 1671628841.6890311
0.04519939422607422 0.02 1671628846.8110976
0.04299330711364746 0.02 1671628851.9591475
0.03457140922546387 0.03 1671628857.102794
0.03959369659423828 0.03 1671628862.3224225
0.03381991386413574 0.00 1671628867.3756263
0.044548988342285156 0.01 1671628872.474224
0.03512310981750488 0.02 1671628877.5787244
0.03208661079406738 0.02 1671628882.705687
0.03466629981994629 0.03 1671628887.8666902
0.05233883857727051 0.04 1671628893.1248298
0.03332042694091797 0.00 1671628898.1768868
0.03988528251647949 0.01 1671628903.2708619
0.046761512756347656 0.02 1671628908.4006972
0.047539472579956055 0.03 1671628913.5758374
0.04510664939880371 0.03 1671628918.7430172
0.05780673027038574 0.04 1671628924.0125835
0.042680978775024414 0.00 1671628929.0853014
0.03501534461975098 0.01 1671628934.1790195
0.033355712890625 0.02 1671628939.2895272
0.034475088119506836 0.02 1671628944.4188316
0.03531384468078613 0.02 1671628949.5987525
0.05394887924194336 0.03 1671628954.8603384
0.0406496524810791 0.00 1671628959.9352984
0.045130252838134766 0.01 1671628965.0447984
0.04206037521362305 0.02 1671628970.1790183
0.03520083427429199 0.02 1671628975.319366
0.034578800201416016 0.03 1671628980.467527
0.05544114112854004 0.03 1671628985.7284322
0.04156208038330078 0.00 1671628990.8119743
0.033608436584472656 0.01 1671628995.9018228
0.04421043395996094 0.02 1671629001.0410483
0.034560441970825195 0.03 1671629006.176961
0.0386049747467041 0.03 1671629011.3629417
0.04441094398498535 0.00 1671629016.4254537
0.044431209564208984 0.01 1671629021.5136814
0.039194583892822266 0.02 1671629026.6314654
0.04564332962036133 0.03 1671629031.7906144
0.04218935966491699 0.03 1671629036.9655077
0.04557323455810547 0.03 1671629042.1438086
0.03853249549865723 0.00 1671629047.201623
0.03234601020812988 0.01 1671629052.2730315
0.04991316795349121 0.02 1671629057.4191124
0.03451108932495117 0.02 1671629062.5532641
0.04842185974121094 0.03 1671629067.7506447
0.036905527114868164 0.04 1671629072.9604237
0.04547238349914551 0.00 1671629078.0300384
0.04404020309448242 0.01 1671629083.131872
0.038002729415893555 0.01 1671629088.25098
0.03420400619506836 0.02 1671629093.3827846
0.038401126861572266 0.04 1671629098.5765934
0.03642582893371582 0.04 1671629103.7733455
0.04424238204956055 0.00 1671629108.84469
0.046317338943481445 0.01 1671629113.9459999
0.0520482063293457 0.02 1671629119.0953066
0.03357052803039551 0.02 1671629124.2375324
0.04456758499145508 0.02 1671629129.3964264
0.04037070274353027 0.03 1671629134.6151857
0.033115386962890625 0.00 1671629139.6736646
0.04147005081176758 0.01 1671629144.7785575
0.029350996017456055 0.01 1671629149.8884006
0.04625344276428223 0.01 1671629155.0231416
0.03261303901672363 0.01 1671629160.1516984
